host_is_superhost,host_listings_count,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
f,1.0,Circle C,House,Private room,6,2.5,1.0,3.0,Real Bed,300.0,0.0,0.0,1,0.0,2,t,0,0,0,240,1,f,moderate
f,1.0,Circle C,Camper/RV,Private room,2,0.0,1.0,1.0,Futon,99.0,1000.0,75.0,1,0.0,3,t,29,59,89,364,0,f,moderate
f,1.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,100.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,1.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,40.0,0.0,25.0,2,10.0,1,t,16,16,37,312,2,t,moderate
f,1.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,99.0,0.0,0.0,2,0.0,2,t,29,59,89,364,0,f,strict
t,9.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,49.0,0.0,0.0,1,0.0,2,t,25,55,85,360,4,f,strict
t,9.0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,50.0,0.0,0.0,1,20.0,3,t,29,59,89,364,7,f,strict
t,12.0,St. Johns,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,55.0,100.0,75.0,1,0.0,1,t,30,60,90,365,14,f,strict
f,1.0,Copperfield,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,180.0,200.0,100.0,0,0.0,1,t,0,0,0,238,0,t,flexible
f,1.0,Steiner Ranch,Townhouse,Private room,4,1.0,1.0,1.0,Real Bed,59.0,100.0,10.0,4,15.0,1,t,30,60,90,365,2,f,flexible
f,1.0,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,155.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
